Bank;Spaarrekening;Basisrente;Getrouwheidspremie;Totale Rente
NIBC;NIBC Opti rekening;1,50%;1,50%;3,00%
Argenta;Groeirekening;1,50%;1,50%;3,00%
VDK Bank;Ritme Spaarrekening;1,45%;1,50%;2,95%
BNP Paribas Fortis;Spaarrekening Boost (Cat. B);1,40%;1,50%;2,90%
Belfius;1. Belfius Flow Spaarrekening;1,30%;1,50%;2,80%
CPH Bank;Carnet CPH Dépôts Plus;2,10%;0,50%;2,60%
ING België;ING Tempo Sparen;0,75%;1,50%;2,25%
KBC België;1. KBC-Start2Save;0,75%;1,50%;2,25%
CBC;1. CBC-Start2Save;0,75%;1,50%;2,25%
Santander Consumer Bank;Vision Max;0,70%;1,30%;2,00%
Medirect;MeDirect Essential Sparen;1,30%;0,70%;2,00%
Crelan;Crelan GoSave;0,50%;1,50%;2,00%
CPH Bank;Carnet CPH Dépôts Jeunes de 0 à 11 ans inclus;1,35%;0,50%;1,85%
Santander Consumer Bank;Vision Plus;0,60%;1,05%;1,65%
Medirect;MeDirect Fidelity Sparen;0,20%;1,40%;1,60%
NIBC;NIBC Spaarrekening;1,20%;0,40%;1,60%
NIBC;NIBC Getrouwheidsrekening;0,20%;1,40%;1,60%
CPH Bank;Carnet CPH Dépôts Jeunes de 12 à 25 ans inclus;1,10%;0,50%;1,60%
Belfius;2. Belfius Fidelity Spaarrekening;0,15%;1,25%;1,40%
Medirect;MeDirect Dynamic Sparen;1,10%;0,30%;1,40%
Santander Consumer Bank;Vision;0,95%;0,35%;1,30%
Crelan;Crelan Horizon Plus boekje;0,10%;1,20%;1,30%
VDK Bank;You Count Spaarrekening;0,40%;0,90%;1,30%
ING België;ING Spaarrekening;0,10%;1,15%;1,25%
Argenta;Getrouwheidsrekening;0,10%;1,00%;1,10%
BNP Paribas Fortis;Spaarrekening Plus (Cat. B);0,15%;0,85%;1,00%
NIBC;NIBC Flex rekening;0,50%;0,35%;0,85%
CPH Bank;Carnet CPH Dépôts;0,30%;0,50%;0,80%
Belfius;3. Spaarrekening;0,30%;0,30%;0,60%
KBC België;2. KBC-Spaarrekening;0,40%;0,20%;0,60%
CBC;2. Compte d'épargne CBC;0,40%;0,20%;0,60%
VDK Bank;SpaarPlus Rekening;0,20%;0,40%;0,60%
VDK Bank;Rentespaarrekening;0,20%;0,40%;0,60%
Crelan;Crelan Spaarboekje;0,20%;0,35%;0,55%
Crelan;Crelan Direct boekje;0,20%;0,35%;0,55%
BNP Paribas Fortis;Spaarrekening (Cat. A);0,30%;0,20%;0,50%
Argenta;e-spaar;0,20%;0,30%;0,50%
Argenta;Maxirekening;0,20%;0,30%;0,50%
Medirect;MeDirect Maandsparen Max;0,05%;0,25%;0,30%
ING België;ING Oranje Boekje;0,15%;0,10%;0,25%
ING België;ING Lion Deposit;0,15%;0,10%;0,25%
