Datum;Bedrag (EUR);Basisrente;Getrouwheidspremie
16-jan-23;500;0,75%;1,50%
16-feb-23;500;0,75%;1,50%
16-mrt-23;500;0,75%;1,50%
17-apr-23;500;0,75%;1,50%
16-mei-23;500;0,75%;1,50%
16-jun-23;500;0,75%;1,50%
17-jul-23;500;0,75%;1,50%
16-aug-23;500;0,75%;1,50%
08-sep-23;500;1,20%;1,80%
09-okt-23;500;1,20%;1,80%
08-nov-23;500;1,20%;1,80%
08-dec-23;500;1,20%;1,80%
08-jan-24;500;1,20%;1,80%
08-feb-24;500;1,20%;1,80%
08-mrt-24;500;1,20%;1,80%
08-apr-24;500;1,20%;1,80%
08-mei-24;500;1,20%;1,80%
10-jun-24;500;1,20%;1,80%
08-jul-24;500;1,20%;1,80%
08-aug-24;500;1,20%;1,80%
09-sep-24;500;1,20%;1,80%
08-okt-24;500;1,20%;1,80%
08-nov-24;500;1,20%;1,80%
09-dec-24;500;1,20%;1,80%
08-jan-25;500;1,05%;1,70%
10-feb-25;500;1,05%;1,70%
10-mrt-25;500;1,00%;1,50%
08-apr-25;500;1,00%;1,50%
08-mei-25;500;1,00%;1,50%
09-jun-25;500;1,00%;1,50%
08-jul-25;500;0,75%;1,50%
08-aug-25;500;0,75%;1,50%
10-sep-25;250;0,75%;1,50%
12-okt-25;500;0,75%;1,50%
12-nov-25;500;0,75%;1,50%
12-dec-25;500;0,75%;1,50%
12-jan-26;500;0,75%;1,50%
12-feb-26;500;0,75%;1,50%
12-mrt-26;500;0,75%;1,50%
12-apr-26;500;0,75%;1,50%
12-mei-26;500;0,75%;1,50%
